Frame,X,Y,Z,QX,QY,QZ,QW,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,2.721056273393432,-0.9432867546188252,0.8761507155651799,-0.059079773351918476,0.2361588622346511,0.6037270983173385,0.7591127471766279,-0.4412999609482097,0.020767702295401466,-0.06949816282113143,-0.020548309441900694,0.1414518107352965,-0.1736467756706361,-0.6881845524621628,-0.13737383741320633,-0.004260614572075749,0.2629093139446443,-0.047902039650427955,0.00741666768802174,-0.04704588986200607,0.30315184134221157,0.32222115418879854,-0.3151112589735974,0.33574263895484574,-0.37219885381935114,1.2692711041200604,-0.05780810165361214,-0.1135239641568662,0.2027415838227484,-0.9789107266032833,-0.7336806660164807,0.8162002651774042,1.0006043972450278,-0.31357673650781537,0.10674259373216025,-0.15485502132538448
1.0,2.721056273393432,-0.9432867546188252,0.8761507155651799,-0.059079773351918476,0.2361588622346511,0.6037270983173385,0.7591127471766279,-0.4412999609482097,0.020767702295401466,-0.06949816282113143,-0.020548309441900694,0.1414518107352965,-0.1736467756706361,-0.6881845524621628,-0.13737383741320633,-0.004260614572075749,0.2629093139446443,-0.047902039650427955,0.00741666768802174,-0.04704588986200607,0.30315184134221157,0.32222115418879854,-0.3151112589735974,0.33574263895484574,-0.37219885381935114,1.2692711041200604,-0.05780810165361214,-0.1135239641568662,0.2027415838227484,-0.9789107266032833,-0.7336806660164807,0.8162002651774042,1.0006043972450278,-0.31357673650781537,0.10674259373216025,-0.15485502132538448
2.0,2.722939740850216,-0.9399793353529804,0.8730702534076819,-0.060098170263245355,0.25181838995693157,0.5941982270431816,0.7615143960485894,-0.45627994769772323,0.012171767228274436,-0.04102031375665721,-0.026123873745930157,0.13549263832705963,-0.17191933347412508,-0.7425260371837883,-0.13891433882596238,0.027407480954447918,0.3122247935223261,-0.07870623421267722,0.007723780126079244,-0.01905987025808061,0.28261042090502236,0.29323768894808916,-0.31305611074832423,0.33250977919258407,-0.3735383439469259,1.273617152165881,-0.05630653925807309,-0.11634124684012787,0.2018846578512684,-0.9789844966298756,-0.7368145939832877,0.8215357234835347,1.0053840147133077,-0.32043269839483945,0.10591578300581998,-0.15565525606094377
2.0,2.723235174249592,-0.9400470980098704,0.871952103494759,-0.06053568761552789,0.257925031760854,0.5906254944396802,0.7622149525127151,-0.46606072752427175,0.00843135978938459,-0.030931428733511825,-0.02556234987609731,0.134837082967631,-0.17144967764186186,-0.7641881276718024,-0.13920474085351411,0.03969645491595866,0.32735356707288416,-0.08428588638796647,0.008183501250352746,-0.009554337081967996,0.2738842648434861,0.28186320223537603,-0.3126932577873035,0.33270725029933823,-0.3746242403646292,1.2739449161680936,-0.05630327387341006,-0.1166476965354832,0.20199042254147662,-0.977639055894019,-0.7368114384816805,0.8206109691893608,1.005545792505645,-0.3205219765637689,0.10571990686511276,-0.15578962739974261
3.0,2.72327605377101,-0.9399139350139691,0.8715558907448798,-0.060708560565998104,0.2602939987215666,0.5895963154432996,0.7621926854275277,-0.4703578327271057,0.007239854084739809,-0.027751391387642668,-0.025526982911501232,0.13598720075213266,-0.17084096196274132,-0.7720372883846954,-0.14011998822407928,0.043255395648733465,0.3321684514488873,-0.08620038234776756,0.008213240851962726,-0.004074356933777987,0.27086071155933433,0.2766017134963532,-0.3090628421279279,0.331444777745614,-0.3731305818927309,1.2729447176862545,-0.05558588589478369,-0.11847812254704208,0.2038229830103953,-0.9760322800149563,-0.736988100240765,0.8267160691008172,1.0136126550207873,-0.32709647766156597,0.10707601063205659,-0.15430300503069405
4.0,2.723270674888717,-0.9397117508858552,0.8714123085634232,-0.060775185832107455,0.26121930316886754,0.5893986351618041,0.7620236881544077,-0.4721483777799221,0.006838426854029831,-0.02693176424608139,-0.02580945386426922,0.13717616305324573,-0.17037229988517505,-0.7749331310140972,-0.14097828734024553,0.04401773733523444,0.33390151240506705,-0.08714123518044156,0.008166557516871125,-0.001371473799517734,0.27003460030858356,0.2740770882333095,-0.30581793060540496,0.3301057789684561,-0.3714204002012121,1.2720378301475908,-0.0548773102418729,-0.12012037617940963,0.20550756157139588,-0.9752162777769479,-0.7368708480866368,0.8323329580157571,1.020458252418729,-0.332552478063814,0.10804199950040118,-0.1532731627494231
4.0,2.723274545244991,-0.9396967749359041,0.8713538850885487,-0.06088329670827399,0.26158539673948955,0.5892661007505126,0.761991972989783,-0.4728850466930307,0.006650651528540632,-0.02656382344421217,-0.025809848484122766,0.137209755562395,-0.1703219228002777,-0.7761161509542515,-0.14103246301963332,0.044483364352436876,0.33447015255665924,-0.0873219018902141,0.00820821126638513,-0.001149969212860621,0.2697680305723201,0.2732302327034559,-0.30557831050998213,0.33000119998252586,-0.3712958255252116,1.272018661260381,-0.05482225098420849,-0.12017632588757689,0.20558081496381025,-0.9753325464573012,-0.7365963674903513,0.8326288618979317,1.0208655913446483,-0.33256469022770313,0.10785336270491616,-0.1534102387260213
5.0,2.7232770588518487,-0.9396962087091374,0.871332371571706,-0.06092186222588527,0.26171768879313206,0.5892154321134963,0.7619826458883543,-0.4731731162696826,0.006587919204789889,-0.026428112399278364,-0.025771529017078458,0.13720535736316117,-0.17031274436971164,-0.7765484852910365,-0.14104424036389393,0.044655110924593074,0.3346702290414399,-0.08737339693480427,0.008217294029807459,-0.0010190460830589465,0.2696414582055843,0.2729420736516892,-0.30554603243748374,0.330003419169198,-0.3712898669949357,1.2720134330739363,-0.054817933682877365,-0.12017849812444831,0.20558458471994773,-0.9753300287371636,-0.7365625018649372,0.8326505638501164,1.020905491618998,-0.33255828413213323,0.10783308462664193,-0.15342766055538887
6.0,2.7232589524468485,-0.9393080327653912,0.8713379179721685,-0.06075347571311179,0.2617504160633477,0.5895552522989433,0.7617219567310436,-0.4733219527793946,0.006640437095323516,-0.027009159759663472,-0.026337299285152507,0.13896850095876284,-0.16977337382771804,-0.7764726424442738,-0.14228089165170557,0.04362734722554084,0.3349922157530826,-0.08810858810018649,0.008029030218386352,0.0013213924363368408,0.26988744660899594,0.2720398449881907,-0.3014698635090183,0.3282334677021518,-0.36889846628407624,1.2707331536972128,-0.05386164138645966,-0.12244927047111331,0.20789892036177085,-0.9743358588286388,-0.7368480729679804,0.8397443184906955,1.0287418269196598,-0.3397346374502995,0.10947938775125729,-0.15199381235976786
7.0,2.7232491028401227,-0.9390587362813282,0.8713397928567314,-0.06070413917579141,0.26177621374727333,0.5897791101851417,0.7615437102309299,-0.47341334329643336,0.006618135634944713,-0.027439020142120768,-0.02675496919230623,0.13992308495640435,-0.1694719061037108,-0.7764576981443804,-0.1429864079165736,0.04298202724965749,0.3351911216582304,-0.08855797689514355,0.007963706996906081,0.002109732637280083,0.2702099148252009,0.27145291462899923,-0.29926956532272925,0.3272093414634353,-0.36753583751307417,1.2700894440265573,-0.05331513806495339,-0.12363363300172296,0.20912641713799276,-0.9741113883917093,-0.7366944114509504,0.843437825279826,1.032664859139369,-0.34309494998840284,0.11006924243669487,-0.15150895359551372
